timestamp,E,U,time
2014-09-21 05:00:00,0.0,0.0,0:00:00.118729
2014-09-21 06:00:00,0.0,0.0,0:00:00.138287
2014-09-21 07:00:00,0.0,0.0,0:00:00.124598
2014-09-21 08:00:00,0.0,0.0,0:00:00.150408
2014-09-21 09:00:00,0.0,0.0,0:00:00.125080
2014-09-21 10:00:00,0.0,0.0,0:00:00.149630
2014-09-21 11:00:00,0.0,0.0,0:00:00.100612
2014-09-21 12:00:00,0.0,0.0,0:00:00.101409
2014-09-21 13:00:00,0.0,0.0,0:00:00.124988
2014-09-21 14:00:00,0.0,0.0,0:00:00.095706
2014-09-21 15:00:00,0.0,0.0,0:00:00.087136
2014-09-21 16:00:00,0.0,0.0,0:00:00.122950
2014-09-21 17:00:00,0.0,0.0,0:00:00.086840
2014-09-21 18:00:00,0.0,0.0,0:00:00.121479
2014-09-21 19:00:00,0.0,0.0,0:00:00.166444
2014-09-21 20:00:00,0.0,0.0,0:00:00.132903
2014-09-21 21:00:00,0.0,0.0,0:00:00.126445
2014-09-21 22:00:00,0.0,0.0,0:00:00.126154
2014-09-21 23:00:00,0.0,0.0,0:00:00.174642
2014-09-22 00:00:00,0.0,0.0,0:00:00.144171
2014-09-22 01:00:00,0.0,0.0,0:00:00.119205
2014-09-22 02:00:00,0.0,0.0,0:00:00.112923
2014-09-22 03:00:00,0.0,0.0,0:00:00.174250
2014-09-22 04:00:00,0.0,0.0,0:00:00.130171
2014-09-22 05:00:00,0.0,0.0,0:00:00.108201
2014-09-22 06:00:00,0.0,0.0,0:00:00.123837
2014-09-22 07:00:00,0.0,0.0,0:00:00.161956
2014-09-22 08:00:00,0.0,0.0,0:00:00.164808
2014-09-22 09:00:00,0.0,0.0,0:00:00.100361
2014-09-22 10:00:00,0.0,0.0,0:00:00.163876
2014-09-22 11:00:00,0.0,0.0,0:00:00.092981
2014-09-22 12:00:00,0.0,0.0,0:00:00.120870
2014-09-22 13:00:00,0.0,0.0,0:00:00.086227
2014-09-22 14:00:00,0.0,0.0,0:00:00.097146
2014-09-22 15:00:00,0.0,0.0,0:00:00.155287
2014-09-22 16:00:00,0.0,0.0,0:00:00.122619
2014-09-22 17:00:00,0.0,0.0,0:00:00.157853
2014-09-22 18:00:00,0.0,0.0,0:00:00.122580
2014-09-22 19:00:00,0.0,0.0,0:00:00.147304
2014-09-22 20:00:00,0.0,0.0,0:00:00.157273
2014-09-22 21:00:00,0.0,0.0,0:00:00.151928
2014-09-22 22:00:00,0.0,0.0,0:00:00.124065
2014-09-22 23:00:00,3.6,0.05191546641290172,0:00:00.115302
2014-09-23 00:00:00,3.6,0.04639211408793924,0:00:00.123669
2014-09-23 01:00:00,5.009999999999998,0.06446082822047161,0:00:00.154232
2014-09-23 02:00:00,10.799999999999999,0.14472194686531992,0:00:00.126814
2014-09-23 03:00:00,10.799999999999999,0.16664811037480798,0:00:00.150898
2014-09-23 04:00:00,0.0,0.0,0:00:00.095488
2014-09-23 05:00:00,0.0,0.0,0:00:00.121323
2014-09-23 06:00:00,0.0,0.0,0:00:00.111763
2014-09-23 07:00:00,0.0,0.0,0:00:00.128016
2014-09-23 08:00:00,0.0,0.0,0:00:00.133046
2014-09-23 09:00:00,0.0,0.0,0:00:00.083698
2014-09-23 10:00:00,0.0,0.0,0:00:00.160906
2014-09-23 11:00:00,0.0,0.0,0:00:00.122302
2014-09-23 12:00:00,0.0,0.0,0:00:00.151815
2014-09-23 13:00:00,0.0,0.0,0:00:00.140403
2014-09-23 14:00:00,0.0,0.0,0:00:00.131093
2014-09-23 15:00:00,0.0,0.0,0:00:00.131979
2014-09-23 16:00:00,0.0,0.0,0:00:00.112421
2014-09-23 17:00:00,0.0,0.0,0:00:00.093718
2014-09-23 18:00:00,0.0,0.0,0:00:00.137123
2014-09-23 19:00:00,0.0,0.0,0:00:00.137014
2014-09-23 20:00:00,0.0,0.0,0:00:00.128946
2014-09-23 21:00:00,0.0,0.0,0:00:00.162340
2014-09-23 22:00:00,0.0,0.0,0:00:00.168344
2014-09-23 23:00:00,0.0,0.0,0:00:00.118909
2014-09-24 00:00:00,0.0,0.0,0:00:00.115036
2014-09-24 01:00:00,0.0,0.0,0:00:00.139809
2014-09-24 02:00:00,0.0,0.0,0:00:00.153846
2014-09-24 03:00:00,0.0,0.0,0:00:00.114016
2014-09-24 04:00:00,0.0,0.0,0:00:00.175392
2014-09-24 05:00:00,0.0,0.0,0:00:00.249824
2014-09-24 06:00:00,0.0,0.0,0:00:00.276718
2014-09-24 07:00:00,0.0,0.0,0:00:00.154142
2014-09-24 08:00:00,0.0,0.0,0:00:00.141969
2014-09-24 09:00:00,0.0,0.0,0:00:00.140228
2014-09-24 10:00:00,0.0,0.0,0:00:00.273503
2014-09-24 11:00:00,0.0,0.0,0:00:00.203351
2014-09-24 12:00:00,0.0,0.0,0:00:00.203582
2014-09-24 13:00:00,0.0,0.0,0:00:00.218293
2014-09-24 14:00:00,0.0,0.0,0:00:00.169194
2014-09-24 15:00:00,0.0,0.0,0:00:00.186933
2014-09-24 16:00:00,0.0,0.0,0:00:00.175427
2014-09-24 17:00:00,0.0,0.0,0:00:00.115640
2014-09-24 18:00:00,0.0,0.0,0:00:00.235425
2014-09-24 19:00:00,0.0,0.0,0:00:00.109763
2014-09-24 20:00:00,0.0,0.0,0:00:00.173698
2014-09-24 21:00:00,0.0,0.0,0:00:00.167218
2014-09-24 22:00:00,0.0,0.0,0:00:00.153781
2014-09-24 23:00:00,0.0,0.0,0:00:00.153547
2014-09-25 00:00:00,0.0,0.0,0:00:00.178871
2014-09-25 01:00:00,0.0,0.0,0:00:00.150201
2014-09-25 02:00:00,0.0,0.0,0:00:00.147846
2014-09-25 03:00:00,0.0,0.0,0:00:00.193331
2014-09-25 04:00:00,0.0,0.0,0:00:00.127714
2014-09-25 05:00:00,0.0,0.0,0:00:00.205260
2014-09-25 06:00:00,0.0,0.0,0:00:00.133302
2014-09-25 07:00:00,0.0,0.0,0:00:00.154322
2014-09-25 08:00:00,0.0,0.0,0:00:00.149108
2014-09-25 09:00:00,0.0,0.0,0:00:00.209801
2014-09-25 10:00:00,0.0,0.0,0:00:00.092723
2014-09-25 11:00:00,0.0,0.0,0:00:00.198337
2014-09-25 12:00:00,0.0,0.0,0:00:00.107490
2014-09-25 13:00:00,0.0,0.0,0:00:00.175730
2014-09-25 14:00:00,0.0,0.0,0:00:00.100209
2014-09-25 15:00:00,0.0,0.0,0:00:00.152535
2014-09-25 16:00:00,0.0,0.0,0:00:00.147265
2014-09-25 17:00:00,0.0,0.0,0:00:00.112868
2014-09-25 18:00:00,0.0,0.0,0:00:00.146263
2014-09-25 19:00:00,0.0,0.0,0:00:00.222358
2014-09-25 20:00:00,0.0,0.0,0:00:00.168515
2014-09-25 21:00:00,0.0,0.0,0:00:00.079798
2014-09-25 22:00:00,0.0,0.0,0:00:00.181078
2014-09-25 23:00:00,0.0,0.0,0:00:00.177380
2014-09-26 00:00:00,0.0,0.0,0:00:00.137772
2014-09-26 01:00:00,0.0,0.0,0:00:00.175370
2014-09-26 02:00:00,0.0,0.0,0:00:00.131629
2014-09-26 03:00:00,0.0,0.0,0:00:00.196652
2014-09-26 04:00:00,0.0,0.0,0:00:00.206150
2014-09-26 05:00:00,0.0,0.0,0:00:00.164985
2014-09-26 06:00:00,0.0,0.0,0:00:00.150280
2014-09-26 07:00:00,0.0,0.0,0:00:00.172753
2014-09-26 08:00:00,0.0,0.0,0:00:00.179957
2014-09-26 09:00:00,0.0,0.0,0:00:00.150112
2014-09-26 10:00:00,0.0,0.0,0:00:00.184539
2014-09-26 11:00:00,0.0,0.0,0:00:00.160310
2014-09-26 12:00:00,0.0,0.0,0:00:00.150685
2014-09-26 13:00:00,0.0,0.0,0:00:00.146270
2014-09-26 14:00:00,0.0,0.0,0:00:00.305417
2014-09-26 15:00:00,0.0,0.0,0:00:00.135602
2014-09-26 16:00:00,0.0,0.0,0:00:00.186464
2014-09-26 17:00:00,0.0,0.0,0:00:00.224574
2014-09-26 18:00:00,10.130000000000003,0.21641073176637282,0:00:00.239268
2014-09-26 19:00:00,0.0,0.0,0:00:00.139421
2014-09-26 20:00:00,0.0,0.0,0:00:00.129820
2014-09-26 21:00:00,0.0,0.0,0:00:00.194977
2014-09-26 22:00:00,0.0,0.0,0:00:00.121322
2014-09-26 23:00:00,0.0,0.0,0:00:00.098533
2014-09-27 00:00:00,0.0,0.0,0:00:00.223478
2014-09-27 01:00:00,0.0,0.0,0:00:00.190624
2014-09-27 02:00:00,0.0,0.0,0:00:00.148547
2014-09-27 03:00:00,0.0,0.0,0:00:00.126320
2014-09-27 04:00:00,0.0,0.0,0:00:00.157440
2014-09-27 05:00:00,0.0,0.0,0:00:00.111725
2014-09-27 06:00:00,0.0,0.0,0:00:00.154434
2014-09-27 07:00:00,0.0,0.0,0:00:00.141921
2014-09-27 08:00:00,0.0,0.0,0:00:00.162919
2014-09-27 09:00:00,0.0,0.0,0:00:00.156576
2014-09-27 10:00:00,0.0,0.0,0:00:00.216909
2014-09-27 11:00:00,0.0,0.0,0:00:00.240121
2014-09-27 12:00:00,0.0,0.0,0:00:00.188796
2014-09-27 13:00:00,0.0,0.0,0:00:00.157629
2014-09-27 14:00:00,0.0,0.0,0:00:00.160900
2014-09-27 15:00:00,0.0,0.0,0:00:00.177781
2014-09-27 16:00:00,0.0,0.0,0:00:00.175524
2014-09-27 17:00:00,0.0,0.0,0:00:00.098983
2014-09-27 18:00:00,0.0,0.0,0:00:00.106964
2014-09-27 19:00:00,0.0,0.0,0:00:00.161786
2014-09-27 20:00:00,0.0,0.0,0:00:00.223648
2014-09-27 21:00:00,0.0,0.0,0:00:00.111883
2014-09-27 22:00:00,0.0,0.0,0:00:00.140410
2014-09-27 23:00:00,0.0,0.0,0:00:00.150156
2014-09-28 00:00:00,0.0,0.0,0:00:00.143996
